beta,ESS
1.000000000000000000e+00,9.999900000000002328e+05
1.100000000000000089e+00,9.025038249052388128e+05
1.199999999999999956e+00,6.978276372773231706e+05
1.300000000000000044e+00,4.861339095885207644e+05
1.399999999999999911e+00,3.143164751467208844e+05
1.500000000000000000e+00,1.921953743684572692e+05
1.600000000000000089e+00,1.126409948429202050e+05
1.700000000000000178e+00,6.396440063750372065e+04
1.800000000000000044e+00,3.553070230011115200e+04
1.899999999999999911e+00,1.947412276263059903e+04
2.000000000000000000e+00,1.061729019823074123e+04
2.100000000000000089e+00,5.802381801087117310e+03
2.200000000000000178e+00,3.201745318449391107e+03
2.299999999999999822e+00,1.795691602719843104e+03
2.400000000000000355e+00,1.029482342625279443e+03
2.500000000000000000e+00,6.060785261163313180e+02
2.600000000000000089e+00,3.676260145342289434e+02
2.700000000000000178e+00,2.302385293992049924e+02
2.799999999999999822e+00,1.490428784620671934e+02
2.900000000000000355e+00,9.974420698837892019e+01
3.000000000000000000e+00,6.897328644368927542e+01
3.100000000000000089e+00,4.922974595913767359e+01
3.200000000000000178e+00,3.621512310012383296e+01
3.300000000000000266e+00,2.741001448185948774e+01
3.400000000000000355e+00,2.130347901563839130e+01
3.500000000000000000e+00,1.696835398458582134e+01
3.600000000000000089e+00,1.382272675324986544e+01
3.700000000000000178e+00,1.149328164080845660e+01
3.800000000000000266e+00,9.735417086742586434e+00
3.900000000000000355e+00,8.385599518469959435e+00
4.000000000000000000e+00,7.332375787685607271e+00
4.099999999999999645e+00,6.498392998119202346e+00
4.200000000000000178e+00,5.829035132906359884e+00
4.300000000000000711e+00,5.285110826303091258e+00
4.400000000000000355e+00,4.838065979817047335e+00
4.500000000000000000e+00,4.466797221953225261e+00
4.599999999999999645e+00,4.155497255600026918e+00
4.700000000000000178e+00,3.892175957918257545e+00
4.800000000000000711e+00,3.667630757565489841e+00
4.900000000000000355e+00,3.474720062309916369e+00
5.000000000000000000e+00,3.307843937357412667e+00
